,Distance_to_Shore,Turbidity,Cyclone_Frequency,Depth_m,Windspeed,SSTA,SSTA_Frequency,SSTA_DHW,TSA,Temperature_Maximum_C,Exposure_cat,Realm_Central Indo-Pacific,Realm_Eastern Indo-Pacific,Realm_Temperate Australasia,Realm_Temperate Northern Atlantic,Realm_Temperate Northern Pacific,Realm_Tropical Atlantic,Realm_Tropical Eastern Pacific,Realm_Western Indo-Pacific
6180,-0.1429255671717477,-0.5785377971007726,1.568615193230687,2.1257678251224523,-0.8907989740120865,-0.36956900639832596,1.2702367105493106,-0.6777449031211723,-0.8185545073591455,-0.8691232101969116,1.2061526052343166,0,0,0,0,0,1,0,0
19301,-0.27497855554129136,0.09783661307391318,0.3551010076428117,-0.4114092207749324,1.0816624653662223,4.604594828414554,2.062181692492864,3.2627996735479767,3.0527103895312746,-0.5681259239024566,-0.9228683347360153,1,0,0,0,0,0,0,0
30097,-0.23920935402731797,-0.02330507233050813,-0.19793915943093857,0.200231674218187,2.067893185055377,-2.1258496021023996,-0.6304312461152177,-0.6777449031211723,-1.5129242428331415,-0.7552323451125339,1.2061526052343166,0,0,0,0,0,1,0,0
23403,-0.2535731478007697,-0.4607611585131407,0.6468815814411039,0.38145860606800036,0.5885471055216451,0.3848065514879876,-0.7888202425039285,0.1544076855226094,0.8405590198796062,1.1402370523633036,-0.9228683347360153,1,0,0,0,0,0,0,0
3195,-0.2021504652519847,-0.5549824693832462,-0.6850540085753678,-0.1735488727220526,0.09543174567706793,-2.208359428746215,0.16151373582833575,-0.6777449031211723,-1.7525739745454056,2.0594990348301287,1.2061526052343166,0,0,0,0,0,1,0,0
31602,-0.2782505156673479,0.664847001702941,-0.30903552853405436,-0.6379428855871989,-0.8907989740120865,0.7148458580632499,-0.4403644504487649,0.5207886847381388,0.1461892844056101,1.4819096476164741,-0.9228683347360153,1,0,0,0,0,0,0,0
22432,-0.1957085689414397,-0.5684426566504042,-0.19671832021002544,-1.2948905135427715,1.0816624653662223,-1.9136814764468741,-0.6304312461152177,-0.6777449031211723,-0.3945588281759089,0.692808653817539,-0.9228683347360153,0,0,0,0,0,1,0,0
11341,-0.11096983747369187,0.0793288555815712,-0.3774025249052017,1.0610596005047999,0.5885471055216451,-0.5581628958699044,1.4286257069380213,-0.6777449031211723,-0.7325263985393583,0.3511360585643684,-0.9228683347360153,0,0,0,0,0,1,0,0
1267,0.42502601954642244,1.2217622498816003,0.9349996375766557,-0.29814238836879914,-0.3976836141675093,-0.1809751169267476,-0.31365325333779637,1.1366205770365816,-0.9475966705888261,0.5463775415661801,-0.9228683347360153,1,0,0,0,0,0,0,0
29844,-0.10830217300153826,-0.48599900963906184,0.5406685692216413,1.559433663091786,-0.3976836141675093,0.7266329761552234,-0.7888202425039285,-0.6777449031211723,-2.084396679993156,-0.3728844409006449,1.2061526052343166,0,0,0,0,0,1,0,0
